mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,outer_fold
1.056306044,0.592940944,0.013764938,0.007763531,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.781736888,0.794897774,0.78762472,0.78808646,0.00538282,7,1
0.304687023,0.008184463,0.037316481,0.002001103,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.774494559,0.787284946,0.782119924,0.78129981,0.005253757,8,1
0.059765021,0.002419181,0.007670641,0.000199776,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.784120286,0.791342453,0.798166204,0.791209648,0.005734991,3,2
0.092273951,0.002592841,0.01138862,0.000433398,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.785739247,0.795423083,0.797552288,0.792904873,0.005140883,1,2
0.083037059,0.002520181,0.010902802,0.001735596,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.783561828,0.789669124,0.794760313,0.789330422,0.004578031,5,2
0.133357604,0.007552913,0.010163943,0.001806592,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.783518855,0.789733803,0.789043052,0.787431903,0.002781276,6,2
0.060193777,0.005772286,0.007395585,0.00068201,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.785834469,0.795440104,0.797214842,0.792829805,0.004999231,2,2
0.091448784,0.003871453,0.006733815,0.000443997,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.78422857,0.793619829,0.792575248,0.790141216,0.004202564,4,2
0.074272235,0.003622013,0.007591168,0.003429339,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.782157542,0.790026749,0.789203443,0.787129245,0.003531556,7,2
0.108263095,0.005948568,0.010347923,0.001232486,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.776834583,0.781979717,0.781330657,0.780048319,0.002287851,8,2
0.057054281,0.000820695,0.006647666,0.000622046,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.784956268,0.796124678,0.797581829,0.792887592,0.005639754,3,3
0.097349087,0.000820967,0.010384798,0.000435542,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.78467883,0.796526579,0.800848348,0.794017919,0.006835367,1,3
0.08729593,0.005682587,0.009935617,0.002043848,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.778168015,0.791614986,0.797538275,0.789107092,0.008104274,5,3
0.132024527,0.001887242,0.014164845,0.002571726,0.05,5,200,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 200}",0.776294409,0.787523474,0.796097219,0.786638367,0.008108653,6,3
0.05784742,0.003634405,0.006567717,0.000874203,0.1,3,100,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 100}",0.784346925,0.796751477,0.800582671,0.793893691,0.006929409,2,3
0.094398499,0.002028092,0.008904854,0.002113977,0.1,3,200,"{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 200}",0.782900729,0.792740042,0.798608936,0.791416569,0.006480773,4,3
0.076153119,0.003394292,0.007480462,0.002942623,0.1,5,100,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100}",0.777042755,0.788125473,0.794456953,0.786541727,0.007196979,7,3
0.104772886,0.005109956,0.009616613,0.001254732,0.1,5,200,"{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 200}",0.770455158,0.77908905,0.785835424,0.778459877,0.006294709,8,3
0.055975596,0.000655598,0.00635012,0.000237197,0.05,3,100,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 100}",0.791806174,0.78671262,0.795303408,0.791274067,0.003527299,4,4
0.097280184,0.002285724,0.010035276,0.000408515,0.05,3,200,"{'learning_rate': 0.05, 'max_depth': 3, 'n_estimators': 200}",0.793942278,0.787618313,0.796616075,0.792725555,0.00377273,1,4
0.090569814,0.002401141,0.012121677,0.004332675,0.05,5,100,"{'learning_rate': 0.05, 'max_depth': 5, 'n_estimators': 100}",0.789803021,0.785798228,0.793599137,0.789733462,0.003185087,5,4
